# ppt
,Texas
TIMESTEP,MEAN(mm/month)
1923-08-01T00:00:00Z,39.40894
1923-09-01T00:00:00Z,106.229256
1923-10-01T00:00:00Z,135.54114
1923-11-01T00:00:00Z,28.174244
1923-12-01T00:00:00Z,25.650333
1924-01-01T00:00:00Z,3.8783896
1924-02-01T00:00:00Z,8.30317
1924-03-01T00:00:00Z,58.80518
1924-04-01T00:00:00Z,37.846535
1924-05-01T00:00:00Z,35.890404
1924-06-01T00:00:00Z,21.098482
1924-07-01T00:00:00Z,41.014206
1924-08-01T00:00:00Z,53.144547
1924-09-01T00:00:00Z,26.5018
1924-10-01T00:00:00Z,23.367668
1924-11-01T00:00:00Z,2.8878195
1924-12-01T00:00:00Z,11.241736
1925-01-01T00:00:00Z,5.1070833
1925-02-01T00:00:00Z,5.375047
1925-03-01T00:00:00Z,4.1510935
1925-04-01T00:00:00Z,45.5189
1925-05-01T00:00:00Z,28.12257
1925-06-01T00:00:00Z,55.615562
1925-07-01T00:00:00Z,88.213264
1925-08-01T00:00:00Z,54.953297
1925-09-01T00:00:00Z,102.59322
1925-10-01T00:00:00Z,12.7424555
1925-11-01T00:00:00Z,27.282955
1925-12-01T00:00:00Z,1.842134
1926-01-01T00:00:00Z,2.915551
1926-02-01T00:00:00Z,9.805567
1926-03-01T00:00:00Z,41.04894
1926-04-01T00:00:00Z,46.43436
1926-05-01T00:00:00Z,78.766754
1926-06-01T00:00:00Z,88.93852
1926-07-01T00:00:00Z,30.114494
1926-08-01T00:00:00Z,41.598408
1926-09-01T00:00:00Z,38.005917
1926-10-01T00:00:00Z,4.180025
1926-11-01T00:00:00Z,5.923045
1926-12-01T00:00:00Z,18.44209
1927-01-01T00:00:00Z,0.106632076
1927-02-01T00:00:00Z,9.740234
1927-03-01T00:00:00Z,13.287289
1927-04-01T00:00:00Z,36.432533
1927-05-01T00:00:00Z,4.051968
1927-06-01T00:00:00Z,50.290264
1927-07-01T00:00:00Z,122.221954
1927-08-01T00:00:00Z,114.737816
1927-09-01T00:00:00Z,40.574547
1927-10-01T00:00:00Z,7.0843043
1927-11-01T00:00:00Z,0.8881873
1927-12-01T00:00:00Z,0.28456342
1928-01-01T00:00:00Z,0.023847472
1928-02-01T00:00:00Z,37.268635
1928-03-01T00:00:00Z,22.037352
1928-04-01T00:00:00Z,37.400784
1928-05-01T00:00:00Z,150.88364
1928-06-01T00:00:00Z,73.94349
1928-07-01T00:00:00Z,64.97607
1928-08-01T00:00:00Z,56.133503
1928-09-01T00:00:00Z,14.878371
1928-10-01T00:00:00Z,72.99283
1928-11-01T00:00:00Z,47.74613
1928-12-01T00:00:00Z,15.387225
1929-01-01T00:00:00Z,9.24022
1929-02-01T00:00:00Z,14.318904
1929-03-01T00:00:00Z,40.455647
1929-04-01T00:00:00Z,5.56646
1929-05-01T00:00:00Z,66.30018
1929-06-01T00:00:00Z,53.870483
1929-07-01T00:00:00Z,100.92744
1929-08-01T00:00:00Z,54.23624
1929-09-01T00:00:00Z,34.910046
1929-10-01T00:00:00Z,31.71731
1929-11-01T00:00:00Z,44.59698
1929-12-01T00:00:00Z,0.116924204
1930-01-01T00:00:00Z,9.069994
1930-02-01T00:00:00Z,0.66060525
1930-03-01T00:00:00Z,7.8617315
1930-04-01T00:00:00Z,23.137012
1930-05-01T00:00:00Z,37.494232
1930-06-01T00:00:00Z,68.51256
1930-07-01T00:00:00Z,80.80375
1930-08-01T00:00:00Z,36.874588
1930-09-01T00:00:00Z,58.753914
1930-10-01T00:00:00Z,123.034874
1930-11-01T00:00:00Z,12.004966
1930-12-01T00:00:00Z,6.3521857
1931-01-01T00:00:00Z,1.8436332
1931-02-01T00:00:00Z,24.846905
1931-03-01T00:00:00Z,43.932934
1931-04-01T00:00:00Z,44.852577
1931-05-01T00:00:00Z,58.017788
1931-06-01T00:00:00Z,34.537914
1931-07-01T00:00:00Z,32.080185
1931-08-01T00:00:00Z,56.92366
1931-09-01T00:00:00Z,24.07806
1931-10-01T00:00:00Z,25.441326
1931-11-01T00:00:00Z,20.804974
1931-12-01T00:00:00Z,15.511667
1932-01-01T00:00:00Z,23.688581
1932-02-01T00:00:00Z,8.981193
1932-03-01T00:00:00Z,31.344055
1932-04-01T00:00:00Z,69.564766
1932-05-01T00:00:00Z,29.2456
1932-06-01T00:00:00Z,117.807
1932-07-01T00:00:00Z,12.200666
1932-08-01T00:00:00Z,25.957363
1932-09-01T00:00:00Z,27.813663
1932-10-01T00:00:00Z,14.503011
1932-11-01T00:00:00Z,5.4007955
1932-12-01T00:00:00Z,17.555737
1933-01-01T00:00:00Z,0.0121562965
1933-02-01T00:00:00Z,7.004166
1933-03-01T00:00:00Z,6.769434
1933-04-01T00:00:00Z,15.247866
1933-05-01T00:00:00Z,64.98767
1933-06-01T00:00:00Z,11.220125
1933-07-01T00:00:00Z,22.124023
1933-08-01T00:00:00Z,120.29582
1933-09-01T00:00:00Z,12.61668
1933-10-01T00:00:00Z,16.360975
1933-11-01T00:00:00Z,44.572605
1933-12-01T00:00:00Z,7.5327106
1934-01-01T00:00:00Z,1.838665
1934-02-01T00:00:00Z,32.66328
1934-03-01T00:00:00Z,16.983906
1934-04-01T00:00:00Z,8.177239
1934-05-01T00:00:00Z,38.072075
1934-06-01T00:00:00Z,46.703285
1934-07-01T00:00:00Z,24.245537
1934-08-01T00:00:00Z,44.255646
1934-09-01T00:00:00Z,38.33715
1934-10-01T00:00:00Z,28.606895
1934-11-01T00:00:00Z,7.881468
1934-12-01T00:00:00Z,3.812323
1935-01-01T00:00:00Z,7.5399623
1935-02-01T00:00:00Z,2.7773042
1935-03-01T00:00:00Z,30.893612
1935-04-01T00:00:00Z,0.011441832
1935-05-01T00:00:00Z,78.15511
1935-06-01T00:00:00Z,43.320225
1935-07-01T00:00:00Z,14.394969
1935-08-01T00:00:00Z,46.04934
1935-09-01T00:00:00Z,25.74531
1935-10-01T00:00:00Z,16.327293
1935-11-01T00:00:00Z,23.729446
1935-12-01T00:00:00Z,4.3084207
1936-01-01T00:00:00Z,15.527095
1936-02-01T00:00:00Z,0.3842962
1936-03-01T00:00:00Z,0.0823109
1936-04-01T00:00:00Z,7.1488595
1936-05-01T00:00:00Z,121.997826
1936-06-01T00:00:00Z,43.282078
1936-07-01T00:00:00Z,15.330952
1936-08-01T00:00:00Z,13.396247
1936-09-01T00:00:00Z,59.897247
1936-10-01T00:00:00Z,8.160122
1936-11-01T00:00:00Z,0.0
1936-12-01T00:00:00Z,20.136164
1937-01-01T00:00:00Z,5.2789803
1937-02-01T00:00:00Z,7.8455954
1937-03-01T00:00:00Z,20.424116
1937-04-01T00:00:00Z,10.795587
1937-05-01T00:00:00Z,60.688354
1937-06-01T00:00:00Z,65.40522
1937-07-01T00:00:00Z,20.85583
1937-08-01T00:00:00Z,31.98286
1937-09-01T00:00:00Z,37.656025
1937-10-01T00:00:00Z,22.202818
1937-11-01T00:00:00Z,2.568865
1937-12-01T00:00:00Z,6.1057215
1938-01-01T00:00:00Z,0.0021624516
1938-02-01T00:00:00Z,17.211796
1938-03-01T00:00:00Z,24.22007
1938-04-01T00:00:00Z,40.135227
1938-05-01T00:00:00Z,71.33302
1938-06-01T00:00:00Z,54.65653
1938-07-01T00:00:00Z,49.550976
1938-08-01T00:00:00Z,13.219634
1938-09-01T00:00:00Z,91.833664
1938-10-01T00:00:00Z,31.694609
1938-11-01T00:00:00Z,2.0829022
1938-12-01T00:00:00Z,11.726641
1939-01-01T00:00:00Z,31.920424
1939-02-01T00:00:00Z,11.1156845
1939-03-01T00:00:00Z,30.049704
1939-04-01T00:00:00Z,45.42124
1939-05-01T00:00:00Z,30.991808
1939-06-01T00:00:00Z,84.3405
1939-07-01T00:00:00Z,45.190605
1939-08-01T00:00:00Z,25.08517
1939-09-01T00:00:00Z,3.4791868
1939-10-01T00:00:00Z,8.974983
1939-11-01T00:00:00Z,0.7509264
1939-12-01T00:00:00Z,22.987225
1940-01-01T00:00:00Z,18.040821
1940-02-01T00:00:00Z,12.059603
1940-03-01T00:00:00Z,12.173829
1940-04-01T00:00:00Z,33.01631
1940-05-01T00:00:00Z,121.87566
1940-06-01T00:00:00Z,39.219765
1940-07-01T00:00:00Z,10.445571
1940-08-01T00:00:00Z,31.96344
1940-09-01T00:00:00Z,40.008957
1940-10-01T00:00:00Z,5.704507
1940-11-01T00:00:00Z,67.33037
1940-12-01T00:00:00Z,11.25116
1941-01-01T00:00:00Z,12.154267
1941-02-01T00:00:00Z,24.016249
1941-03-01T00:00:00Z,26.695211
1941-04-01T00:00:00Z,44.088467
1941-05-01T00:00:00Z,150.43213
1941-06-01T00:00:00Z,77.55612
1941-07-01T00:00:00Z,101.27313
1941-08-01T00:00:00Z,58.331493
1941-09-01T00:00:00Z,66.659096
1941-10-01T00:00:00Z,141.35411
1941-11-01T00:00:00Z,7.90066
1941-12-01T00:00:00Z,4.65614
1942-01-01T00:00:00Z,2.747278
1942-02-01T00:00:00Z,8.470296
1942-03-01T00:00:00Z,33.914177
1942-04-01T00:00:00Z,127.626854
1942-05-01T00:00:00Z,39.478992
1942-06-01T00:00:00Z,155.3627
1942-07-01T00:00:00Z,45.09176
1942-08-01T00:00:00Z,66.92691
1942-09-01T00:00:00Z,44.05011
1942-10-01T00:00:00Z,107.78761
1942-11-01T00:00:00Z,0.29254836
1942-12-01T00:00:00Z,21.269892
1943-01-01T00:00:00Z,3.8864367
1943-02-01T00:00:00Z,1.9889336
1943-03-01T00:00:00Z,5.954855
1943-04-01T00:00:00Z,47.957092
1943-05-01T00:00:00Z,40.796555
1943-06-01T00:00:00Z,50.105007
1943-07-01T00:00:00Z,68.9882
1943-08-01T00:00:00Z,66.192055
1943-09-01T00:00:00Z,21.618212
1943-10-01T00:00:00Z,8.487098
1943-11-01T00:00:00Z,4.9274116
1943-12-01T00:00:00Z,52.382435
1944-01-01T00:00:00Z,40.16192
1944-02-01T00:00:00Z,17.629885
1944-03-01T00:00:00Z,23.81732
1944-04-01T00:00:00Z,91.04962
1944-05-01T00:00:00Z,125.60627
1944-06-01T00:00:00Z,17.836985
1944-07-01T00:00:00Z,131.46518
1944-08-01T00:00:00Z,39.3236
1944-09-01T00:00:00Z,30.19082
1944-10-01T00:00:00Z,29.073683
1944-11-01T00:00:00Z,24.370941
1944-12-01T00:00:00Z,50.024055
1945-01-01T00:00:00Z,24.042793
1945-02-01T00:00:00Z,11.617486
1945-03-01T00:00:00Z,9.256182
1945-04-01T00:00:00Z,25.789898
1945-05-01T00:00:00Z,30.827204
1945-06-01T00:00:00Z,66.57483
1945-07-01T00:00:00Z,67.0491
1945-08-01T00:00:00Z,71.669716
1945-09-01T00:00:00Z,53.40094
1945-10-01T00:00:00Z,15.171727
1945-11-01T00:00:00Z,0.51363236
1945-12-01T00:00:00Z,5.807558
1946-01-01T00:00:00Z,2.7849028
1946-02-01T00:00:00Z,23.951908
1946-03-01T00:00:00Z,15.49821
1946-04-01T00:00:00Z,18.131903
1946-05-01T00:00:00Z,62.753178
1946-06-01T00:00:00Z,57.289562
1946-07-01T00:00:00Z,19.068077
1946-08-01T00:00:00Z,96.23891
1946-09-01T00:00:00Z,65.75668
1946-10-01T00:00:00Z,157.85458
1946-11-01T00:00:00Z,65.964615
1946-12-01T00:00:00Z,0.9501532
1947-01-01T00:00:00Z,11.980608
1947-02-01T00:00:00Z,3.4967864
1947-03-01T00:00:00Z,25.894255
1947-04-01T00:00:00Z,55.594837
1947-05-01T00:00:00Z,113.54573
1947-06-01T00:00:00Z,87.32047
1947-07-01T00:00:00Z,62.46068
1947-08-01T00:00:00Z,42.358356
1947-09-01T00:00:00Z,3.3849647
1947-10-01T00:00:00Z,35.41667
1947-11-01T00:00:00Z,22.92657
1947-12-01T00:00:00Z,24.552233
1948-01-01T00:00:00Z,13.45111
1948-02-01T00:00:00Z,56.1257
1948-03-01T00:00:00Z,34.483883
1948-04-01T00:00:00Z,4.1241884
1948-05-01T00:00:00Z,65.673935
1948-06-01T00:00:00Z,103.79255
1948-07-01T00:00:00Z,55.91033
1948-08-01T00:00:00Z,98.61089
1948-09-01T00:00:00Z,24.605518
